"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"186","20001, Northwest Washington, Washington","1","5400 Arnold Avenue Southwest, Southwest Washington, Washington","1/4/2018 - 1/4/2018, Every day, Daily Average",673,517,875
"186","20001, Northwest Washington, Washington","2","1400 Juniper Street Northwest, Northwest Washington, Washington","1/4/2018 - 1/4/2018, Every day, Daily Average",1585,1306,1923
"186","20001, Northwest Washington, Washington","3","4800 Canal Road Northwest, Northwest Washington, Washington","1/4/2018 - 1/4/2018, Every day, Daily Average",1141,913,1424
"186","20001, Northwest Washington, Washington","4","2700 Unicorn Lane Northwest, Northwest Washington, Washington","1/4/2018 - 1/4/2018, Every day, Daily Average",1582,1265,1978
"186","20001, Northwest Washington, Washington","5","4500 Q Place Northwest, Northwest Washington, Washington","1/4/2018 - 1/4/2018, Every day, Daily Average",940,737,1198
"186","20001, Northwest Washington, Washington","6","Ridge Road Northwest, Northwest Washington, Washington","1/4/2018 - 1/4/2018, Every day, Daily Average",1263,1022,1560
"186","20001, Northwest Washington, Washington","7","4500 Ohio Drive Southwest, Southwest Washington, Washington","1/4/2018 - 1/4/2018, Every day, Daily Average",257,133,493
"186","20001, Northwest Washington, Washington","8","0 H Street Northwest, Northwest Washington, Washington","1/4/2018 - 1/4/2018, Every day, Daily Average",189,84,423
"186","20001, Northwest Washington, Washington","9","1800 Upshur Street Northwest, Northwest Washington, Washington","1/4/2018 - 1/4/2018, Every day, Daily Average",1140,888,1462
"186","20001, Northwest Washington, Washington","10","1500 30th Street Northwest, Northwest Washington, Washington","1/4/2018 - 1/4/2018, Every day, Daily Average",683,494,943
"186","20001, Northwest Washington, Washington","11","1600 Tuckerman Street Northwest, Northwest Washington, Washington","1/4/2018 - 1/4/2018, Every day, Daily Average",1417,1142,1757
"186","20001, Northwest Washington, Washington","13","2100 Monticello Court, Fort Washington","1/4/2018 - 1/4/2018, Every day, Daily Average",1430,1158,1765
"186","20001, Northwest Washington, Washington","14","0 Hesketh Street, Chevy Chase","1/4/2018 - 1/4/2018, Every day, Daily Average",1536,1271,1854
"186","20001, Northwest Washington, Washington","15","8100 Roanoke Avenue, Takoma Park","1/4/2018 - 1/4/2018, Every day, Daily Average",2036,1735,2389
"186","20001, Northwest Washington, Washington","17","8300 Colesville Road, Downtown Silver Spring, Silver Spring","1/4/2018 - 1/4/2018, Every day, Daily Average",1708,1421,2052
"186","20001, Northwest Washington, Washington","19","Thomas Avenue, Arlington","1/4/2018 - 1/4/2018, Every day, Daily Average",543,424,695
"186","20001, Northwest Washington, Washington","20","McClellan Drive, Arlington","1/4/2018 - 1/4/2018, Every day, Daily Average",469,325,674
"186","20001, Northwest Washington, Washington","21","3600 North Vernon Street, Old Glebe, Arlington","1/4/2018 - 1/4/2018, Every day, Daily Average",940,725,1218
"186","20001, Northwest Washington, Washington","23","6500 Bellamine Court, McLean","1/4/2018 - 1/4/2018, Every day, Daily Average",1080,872,1336
"186","20001, Northwest Washington, Washington","24","8600 Brook Road, McLean","1/4/2018 - 1/4/2018, Every day, Daily Average",1589,1310,1927
"186","20001, Northwest Washington, Washington","25","8200 Mockingbird Drive, Annandale","1/4/2018 - 1/4/2018, Every day, Daily Average",1842,1275,2660
"186","20001, Northwest Washington, Washington","26","9400 Pamlico Lane, Great Falls","1/4/2018 - 1/4/2018, Every day, Daily Average",1350,1044,1744
"186","20001, Northwest Washington, Washington","27","6200 Everglades Drive, Alexandria","1/4/2018 - 1/4/2018, Every day, Daily Average",1350,987,1846
"186","20001, Northwest Washington, Washington","28","2100 North Scott Street, North Highland, Arlington","1/4/2018 - 1/4/2018, Every day, Daily Average",732,547,978
"186","20001, Northwest Washington, Washington","29","700 Carpenter Road, Potomac Yard, Alexandria","1/4/2018 - 1/4/2018, Every day, Daily Average",763,590,985
"186","20001, Northwest Washington, Washington","30","0 Auburn Court, Potomac West, Alexandria","1/4/2018 - 1/4/2018, Every day, Daily Average",904,699,1167
"186","20001, Northwest Washington, Washington","31","1000 C Street Northeast, Northeast Washington, Washington","1/4/2018 - 1/4/2018, Every day, Daily Average",664,515,855
"186","20001, Northwest Washington, Washington","32","2600 13th Street Northwest, Northwest Washington, Washington","1/4/2018 - 1/4/2018, Every day, Daily Average",687,510,924
"186","20001, Northwest Washington, Washington","33","4400 E Street Southeast, Benning Ridge, Washington","1/4/2018 - 1/4/2018, Every day, Daily Average",1207,1003,1451
"186","20001, Northwest Washington, Washington","34","1700 Independence Avenue Southeast, Southeast Washington, Washington","1/4/2018 - 1/4/2018, Every day, Daily Average",886,732,1071
"186","20001, Northwest Washington, Washington","35","2100 1st Street Northwest, Northwest Washington, Washington","1/4/2018 - 1/4/2018, Every day, Daily Average",668,502,887
"186","20001, Northwest Washington, Washington","36","500 17th Street Northeast, Northeast Washington, Washington","1/4/2018 - 1/4/2018, Every day, Daily Average",901,671,1208
"186","20001, Northwest Washington, Washington","37","3500 Toledo Terrace, Chillum","1/4/2018 - 1/4/2018, Every day, Daily Average",1871,1518,2304
"186","20001, Northwest Washington, Washington","38","5300 Westport Road, Chevy Chase","1/4/2018 - 1/4/2018, Every day, Daily Average",1527,1252,1861
