"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"186","20001, Northwest Washington, Washington","1","5400 Arnold Avenue Southwest, Southwest Washington, Washington","2/20/2018 - 2/20/2018, Every day, Daily Average",911,597,1389
"186","20001, Northwest Washington, Washington","2","1400 Juniper Street Northwest, Northwest Washington, Washington","2/20/2018 - 2/20/2018, Every day, Daily Average",1714,1350,2175
"186","20001, Northwest Washington, Washington","3","4800 Canal Road Northwest, Northwest Washington, Washington","2/20/2018 - 2/20/2018, Every day, Daily Average",1513,1044,2190
"186","20001, Northwest Washington, Washington","4","2700 Unicorn Lane Northwest, Northwest Washington, Washington","2/20/2018 - 2/20/2018, Every day, Daily Average",1729,1389,2152
"186","20001, Northwest Washington, Washington","5","4500 Q Place Northwest, Northwest Washington, Washington","2/20/2018 - 2/20/2018, Every day, Daily Average",1137,801,1612
"186","20001, Northwest Washington, Washington","6","Ridge Road Northwest, Northwest Washington, Washington","2/20/2018 - 2/20/2018, Every day, Daily Average",1409,1102,1800
"186","20001, Northwest Washington, Washington","7","4500 Ohio Drive Southwest, Southwest Washington, Washington","2/20/2018 - 2/20/2018, Every day, Daily Average",301,146,618
"186","20001, Northwest Washington, Washington","8","0 H Street Northwest, Northwest Washington, Washington","2/20/2018 - 2/20/2018, Every day, Daily Average",210,93,472
"186","20001, Northwest Washington, Washington","9","1800 Upshur Street Northwest, Northwest Washington, Washington","2/20/2018 - 2/20/2018, Every day, Daily Average",1223,932,1604
"186","20001, Northwest Washington, Washington","10","1500 30th Street Northwest, Northwest Washington, Washington","2/20/2018 - 2/20/2018, Every day, Daily Average",818,553,1208
"186","20001, Northwest Washington, Washington","11","1600 Tuckerman Street Northwest, Northwest Washington, Washington","2/20/2018 - 2/20/2018, Every day, Daily Average",1501,1180,1908
