"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"186","20001, Northwest Washington, Washington","1","5400 Arnold Avenue Southwest, Southwest Washington, Washington","1/9/2018 - 1/9/2018, Every day, Daily Average",1032,625,1701
"186","20001, Northwest Washington, Washington","2","1400 Juniper Street Northwest, Northwest Washington, Washington","1/9/2018 - 1/9/2018, Every day, Daily Average",1659,1281,2148
"186","20001, Northwest Washington, Washington","3","4800 Canal Road Northwest, Northwest Washington, Washington","1/9/2018 - 1/9/2018, Every day, Daily Average",1555,1062,2275
"186","20001, Northwest Washington, Washington","4","2700 Unicorn Lane Northwest, Northwest Washington, Washington","1/9/2018 - 1/9/2018, Every day, Daily Average",1792,1277,2512
"186","20001, Northwest Washington, Washington","5","4500 Q Place Northwest, Northwest Washington, Washington","1/9/2018 - 1/9/2018, Every day, Daily Average",1254,824,1906
"186","20001, Northwest Washington, Washington","6","Ridge Road Northwest, Northwest Washington, Washington","1/9/2018 - 1/9/2018, Every day, Daily Average",1451,1065,1976
"186","20001, Northwest Washington, Washington","7","4500 Ohio Drive Southwest, Southwest Washington, Washington","1/9/2018 - 1/9/2018, Every day, Daily Average",338,161,706
"186","20001, Northwest Washington, Washington","8","0 H Street Northwest, Northwest Washington, Washington","1/9/2018 - 1/9/2018, Every day, Daily Average",236,98,564
"186","20001, Northwest Washington, Washington","9","1800 Upshur Street Northwest, Northwest Washington, Washington","1/9/2018 - 1/9/2018, Every day, Daily Average",1245,923,1677
"186","20001, Northwest Washington, Washington","10","1500 30th Street Northwest, Northwest Washington, Washington","1/9/2018 - 1/9/2018, Every day, Daily Average",905,567,1444
"186","20001, Northwest Washington, Washington","11","1600 Tuckerman Street Northwest, Northwest Washington, Washington","1/9/2018 - 1/9/2018, Every day, Daily Average",1479,1117,1956
"186","20001, Northwest Washington, Washington","13","2100 Monticello Court, Fort Washington","1/9/2018 - 1/9/2018, Every day, Daily Average",2155,1413,3286
"186","20001, Northwest Washington, Washington","14","0 Hesketh Street, Chevy Chase","1/9/2018 - 1/9/2018, Every day, Daily Average",1752,1381,2222
"186","20001, Northwest Washington, Washington","15","8100 Roanoke Avenue, Takoma Park","1/9/2018 - 1/9/2018, Every day, Daily Average",1940,1644,2288
"186","20001, Northwest Washington, Washington","16","8800 Walden Road, Silver Spring","1/9/2018 - 1/9/2018, Every day, Daily Average",2014,1765,2297
"186","20001, Northwest Washington, Washington","17","8300 Colesville Road, Downtown Silver Spring, Silver Spring","1/9/2018 - 1/9/2018, Every day, Daily Average",1714,1410,2082
"186","20001, Northwest Washington, Washington","18","8900 Moreland Lane, Annandale","1/9/2018 - 1/9/2018, Every day, Daily Average",1510,1157,1969
"186","20001, Northwest Washington, Washington","19","Thomas Avenue, Arlington","1/9/2018 - 1/9/2018, Every day, Daily Average",781,486,1253
"186","20001, Northwest Washington, Washington","20","McClellan Drive, Arlington","1/9/2018 - 1/9/2018, Every day, Daily Average",654,379,1126
"186","20001, Northwest Washington, Washington","21","3600 North Vernon Street, Old Glebe, Arlington","1/9/2018 - 1/9/2018, Every day, Daily Average",1171,821,1670
"186","20001, Northwest Washington, Washington","23","6500 Bellamine Court, McLean","1/9/2018 - 1/9/2018, Every day, Daily Average",1311,975,1761
"186","20001, Northwest Washington, Washington","24","8600 Brook Road, McLean","1/9/2018 - 1/9/2018, Every day, Daily Average",1624,1256,2099
"186","20001, Northwest Washington, Washington","25","8200 Mockingbird Drive, Annandale","1/9/2018 - 1/9/2018, Every day, Daily Average",1615,1151,2264
"186","20001, Northwest Washington, Washington","26","9400 Pamlico Lane, Great Falls","1/9/2018 - 1/9/2018, Every day, Daily Average",1417,1122,1789
"186","20001, Northwest Washington, Washington","27","6200 Everglades Drive, Alexandria","1/9/2018 - 1/9/2018, Every day, Daily Average",1168,912,1494
"186","20001, Northwest Washington, Washington","28","2100 North Scott Street, North Highland, Arlington","1/9/2018 - 1/9/2018, Every day, Daily Average",851,581,1246
"186","20001, Northwest Washington, Washington","29","700 Carpenter Road, Potomac Yard, Alexandria","1/9/2018 - 1/9/2018, Every day, Daily Average",962,622,1485
"186","20001, Northwest Washington, Washington","30","0 Auburn Court, Potomac West, Alexandria","1/9/2018 - 1/9/2018, Every day, Daily Average",1387,866,2219
"186","20001, Northwest Washington, Washington","31","1000 C Street Northeast, Northeast Washington, Washington","1/9/2018 - 1/9/2018, Every day, Daily Average",827,579,1179
"186","20001, Northwest Washington, Washington","32","2600 13th Street Northwest, Northwest Washington, Washington","1/9/2018 - 1/9/2018, Every day, Daily Average",853,582,1249
"186","20001, Northwest Washington, Washington","33","4400 E Street Southeast, Benning Ridge, Washington","1/9/2018 - 1/9/2018, Every day, Daily Average",1640,1074,2502
"186","20001, Northwest Washington, Washington","34","1700 Independence Avenue Southeast, Southeast Washington, Washington","1/9/2018 - 1/9/2018, Every day, Daily Average",1142,844,1544
"186","20001, Northwest Washington, Washington","35","2100 1st Street Northwest, Northwest Washington, Washington","1/9/2018 - 1/9/2018, Every day, Daily Average",894,584,1368
"186","20001, Northwest Washington, Washington","36","500 17th Street Northeast, Northeast Washington, Washington","1/9/2018 - 1/9/2018, Every day, Daily Average",1101,799,1516
