"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"186","20001, Northwest Washington, Washington","1","5400 Arnold Avenue Southwest, Southwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",686,491,956
"186","20001, Northwest Washington, Washington","2","1400 Juniper Street Northwest, Northwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",1626,1315,2009
"186","20001, Northwest Washington, Washington","3","4800 Canal Road Northwest, Northwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",1329,966,1826
"186","20001, Northwest Washington, Washington","4","2700 Unicorn Lane Northwest, Northwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",1570,1365,1805
"186","20001, Northwest Washington, Washington","5","4500 Q Place Northwest, Northwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",958,728,1260
"186","20001, Northwest Washington, Washington","6","Ridge Road Northwest, Northwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",1387,1019,1886
"186","20001, Northwest Washington, Washington","7","4500 Ohio Drive Southwest, Southwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",255,129,500
"186","20001, Northwest Washington, Washington","8","0 H Street Northwest, Northwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",185,79,433
"186","20001, Northwest Washington, Washington","9","1800 Upshur Street Northwest, Northwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",1165,901,1505
"186","20001, Northwest Washington, Washington","10","1500 30th Street Northwest, Northwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",661,437,997
"186","20001, Northwest Washington, Washington","11","1600 Tuckerman Street Northwest, Northwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",1424,1137,1782
"186","20001, Northwest Washington, Washington","13","2100 Monticello Court, Fort Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",1819,1473,2245
"186","20001, Northwest Washington, Washington","14","0 Hesketh Street, Chevy Chase","2/4/2018 - 2/4/2018, Every day, Daily Average",1752,1393,2203
"186","20001, Northwest Washington, Washington","15","8100 Roanoke Avenue, Takoma Park","2/4/2018 - 2/4/2018, Every day, Daily Average",1993,1693,2345
"186","20001, Northwest Washington, Washington","16","8800 Walden Road, Silver Spring","2/4/2018 - 2/4/2018, Every day, Daily Average",2063,1752,2428
"186","20001, Northwest Washington, Washington","17","8300 Colesville Road, Downtown Silver Spring, Silver Spring","2/4/2018 - 2/4/2018, Every day, Daily Average",1798,1449,2229
"186","20001, Northwest Washington, Washington","18","8900 Moreland Lane, Annandale","2/4/2018 - 2/4/2018, Every day, Daily Average",1344,1063,1698
"186","20001, Northwest Washington, Washington","19","Thomas Avenue, Arlington","2/4/2018 - 2/4/2018, Every day, Daily Average",547,401,745
"186","20001, Northwest Washington, Washington","20","McClellan Drive, Arlington","2/4/2018 - 2/4/2018, Every day, Daily Average",459,298,704
"186","20001, Northwest Washington, Washington","21","3600 North Vernon Street, Old Glebe, Arlington","2/4/2018 - 2/4/2018, Every day, Daily Average",1066,756,1501
"186","20001, Northwest Washington, Washington","23","6500 Bellamine Court, McLean","2/4/2018 - 2/4/2018, Every day, Daily Average",1221,898,1659
"186","20001, Northwest Washington, Washington","24","8600 Brook Road, McLean","2/4/2018 - 2/4/2018, Every day, Daily Average",1614,1218,2137
"186","20001, Northwest Washington, Washington","25","8200 Mockingbird Drive, Annandale","2/4/2018 - 2/4/2018, Every day, Daily Average",1276,1011,1609
"186","20001, Northwest Washington, Washington","26","9400 Pamlico Lane, Great Falls","2/4/2018 - 2/4/2018, Every day, Daily Average",1547,1110,2154
"186","20001, Northwest Washington, Washington","27","6200 Everglades Drive, Alexandria","2/4/2018 - 2/4/2018, Every day, Daily Average",1290,955,1741
"186","20001, Northwest Washington, Washington","28","2100 North Scott Street, North Highland, Arlington","2/4/2018 - 2/4/2018, Every day, Daily Average",728,508,1042
"186","20001, Northwest Washington, Washington","29","700 Carpenter Road, Potomac Yard, Alexandria","2/4/2018 - 2/4/2018, Every day, Daily Average",749,559,1002
"186","20001, Northwest Washington, Washington","30","0 Auburn Court, Potomac West, Alexandria","2/4/2018 - 2/4/2018, Every day, Daily Average",910,667,1240
"186","20001, Northwest Washington, Washington","31","1000 C Street Northeast, Northeast Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",655,489,876
"186","20001, Northwest Washington, Washington","32","2600 13th Street Northwest, Northwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",689,495,957
"186","20001, Northwest Washington, Washington","33","4400 E Street Southeast, Benning Ridge, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",1406,1119,1765
"186","20001, Northwest Washington, Washington","34","1700 Independence Avenue Southeast, Southeast Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",948,727,1235
"186","20001, Northwest Washington, Washington","35","2100 1st Street Northwest, Northwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",775,537,1116
"186","20001, Northwest Washington, Washington","36","500 17th Street Northeast, Northeast Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",908,700,1177
"186","20001, Northwest Washington, Washington","37","3500 Toledo Terrace, Chillum","2/4/2018 - 2/4/2018, Every day, Daily Average",1821,1470,2254
"186","20001, Northwest Washington, Washington","38","5300 Westport Road, Chevy Chase","2/4/2018 - 2/4/2018, Every day, Daily Average",1662,1344,2055
"186","20001, Northwest Washington, Washington","39","Woodrow Wilson Memorial Bridge, Old Town, Alexandria","2/4/2018 - 2/4/2018, Every day, Daily Average",1167,834,1632
"186","20001, Northwest Washington, Washington","40","6000 Rixey Drive, Fair Haven, Alexandria","2/4/2018 - 2/4/2018, Every day, Daily Average",1394,967,2008
"186","20001, Northwest Washington, Washington","41","2000 Rosedale Street Northeast, Northeast Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",1029,797,1327
"186","20001, Northwest Washington, Washington","42","4200 10th Street Northeast, Northeast Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",1091,826,1440
"186","20001, Northwest Washington, Washington","43","900 Randolph Street Northwest, Northwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",1063,814,1386
"186","20001, Northwest Washington, Washington","44","1200 New Jersey Avenue Southeast, Southeast Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",451,309,657
"186","20001, Northwest Washington, Washington","45","0 L Place Northwest, Northwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",201,80,504
"186","20001, Northwest Washington, Washington","46","1900 Anacostia Drive, Southeast Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",687,494,954
"186","20001, Northwest Washington, Washington","47","0 S Street Northwest, Northwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",630,439,902
"186","20001, Northwest Washington, Washington","48","3500 Commodore Joshua Barney Drive Northeast, Northeast Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",992,695,1414
"186","20001, Northwest Washington, Washington","49","2700 10th Street Northeast, Northeast Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",982,726,1327
"186","20001, Northwest Washington, Washington","50","5700 Chevy Chase Parkway Northwest, Northwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",1615,1283,2031
"186","20001, Northwest Washington, Washington","51","1300 Underwood Street Northwest, Northwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",1479,1196,1828
"186","20001, Northwest Washington, Washington","52","200 Quackenbos Street Northwest, Northwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",1331,1011,1750
"186","20001, Northwest Washington, Washington","53","600 Atlantic Street Southeast, Southeast Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",1070,837,1367
"186","20001, Northwest Washington, Washington","54","3300 Clay Street Northeast, Northeast Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",835,589,1181
"186","20001, Northwest Washington, Washington","55","500 Q Street Northwest, Northwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",427,269,677
"186","20001, Northwest Washington, Washington","56","Center Leg Freeway, Southwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",377,252,563
"186","20001, Northwest Washington, Washington","57","600 Edgewood Street Northeast, Northeast Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",805,587,1102
"186","20001, Northwest Washington, Washington","58","3100 13th Street Northwest, Northwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",862,631,1175
"186","20001, Northwest Washington, Washington","59","2800 45th Street Northwest, Northwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",1192,900,1576
"186","20001, Northwest Washington, Washington","60","3200 Dubois Place Southeast, Southeast Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",778,550,1099
"186","20001, Northwest Washington, Washington","61","1400 15th Street Northwest, Northwest Washington, Washington","2/4/2018 - 2/4/2018, Every day, Daily Average",357,222,571
