"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"186","20001, Northwest Washington, Washington","1","5400 Arnold Avenue Southwest, Southwest Washington, Washington","3/27/2018 - 3/27/2018, Every day, Daily Average",956,609,1499
"186","20001, Northwest Washington, Washington","2","1400 Juniper Street Northwest, Northwest Washington, Washington","3/27/2018 - 3/27/2018, Every day, Daily Average",1636,1318,2029
"186","20001, Northwest Washington, Washington","3","4800 Canal Road Northwest, Northwest Washington, Washington","3/27/2018 - 3/27/2018, Every day, Daily Average",1273,997,1624
"186","20001, Northwest Washington, Washington","4","2700 Unicorn Lane Northwest, Northwest Washington, Washington","3/27/2018 - 3/27/2018, Every day, Daily Average",1640,1390,1934
"186","20001, Northwest Washington, Washington","5","4500 Q Place Northwest, Northwest Washington, Washington","3/27/2018 - 3/27/2018, Every day, Daily Average",1039,801,1347
"186","20001, Northwest Washington, Washington","6","Ridge Road Northwest, Northwest Washington, Washington","3/27/2018 - 3/27/2018, Every day, Daily Average",1352,1064,1716
"186","20001, Northwest Washington, Washington","7","4500 Ohio Drive Southwest, Southwest Washington, Washington","3/27/2018 - 3/27/2018, Every day, Daily Average",308,152,620
"186","20001, Northwest Washington, Washington","8","0 H Street Northwest, Northwest Washington, Washington","3/27/2018 - 3/27/2018, Every day, Daily Average",215,92,499
"186","20001, Northwest Washington, Washington","9","1800 Upshur Street Northwest, Northwest Washington, Washington","3/27/2018 - 3/27/2018, Every day, Daily Average",1166,900,1510
"186","20001, Northwest Washington, Washington","10","1500 30th Street Northwest, Northwest Washington, Washington","3/27/2018 - 3/27/2018, Every day, Daily Average",836,566,1233
"186","20001, Northwest Washington, Washington","11","1600 Tuckerman Street Northwest, Northwest Washington, Washington","3/27/2018 - 3/27/2018, Every day, Daily Average",1445,1151,1812
