"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"186","20001, Northwest Washington, Washington","1","5400 Arnold Avenue Southwest, Southwest Washington, Washington","2/24/2018 - 2/24/2018, Every day, Daily Average",754,556,1021
"186","20001, Northwest Washington, Washington","2","1400 Juniper Street Northwest, Northwest Washington, Washington","2/24/2018 - 2/24/2018, Every day, Daily Average",1720,1392,2125
"186","20001, Northwest Washington, Washington","3","4800 Canal Road Northwest, Northwest Washington, Washington","2/24/2018 - 2/24/2018, Every day, Daily Average",1224,963,1554
"186","20001, Northwest Washington, Washington","4","2700 Unicorn Lane Northwest, Northwest Washington, Washington","2/24/2018 - 2/24/2018, Every day, Daily Average",1712,1499,1954
"186","20001, Northwest Washington, Washington","5","4500 Q Place Northwest, Northwest Washington, Washington","2/24/2018 - 2/24/2018, Every day, Daily Average",960,751,1226
"186","20001, Northwest Washington, Washington","6","Ridge Road Northwest, Northwest Washington, Washington","2/24/2018 - 2/24/2018, Every day, Daily Average",1366,1112,1677
"186","20001, Northwest Washington, Washington","7","4500 Ohio Drive Southwest, Southwest Washington, Washington","2/24/2018 - 2/24/2018, Every day, Daily Average",283,142,561
"186","20001, Northwest Washington, Washington","8","0 H Street Northwest, Northwest Washington, Washington","2/24/2018 - 2/24/2018, Every day, Daily Average",209,87,498
"186","20001, Northwest Washington, Washington","9","1800 Upshur Street Northwest, Northwest Washington, Washington","2/24/2018 - 2/24/2018, Every day, Daily Average",1241,961,1601
"186","20001, Northwest Washington, Washington","10","1500 30th Street Northwest, Northwest Washington, Washington","2/24/2018 - 2/24/2018, Every day, Daily Average",750,521,1078
"186","20001, Northwest Washington, Washington","11","1600 Tuckerman Street Northwest, Northwest Washington, Washington","2/24/2018 - 2/24/2018, Every day, Daily Average",1549,1243,1929
"186","20001, Northwest Washington, Washington","13","2100 Monticello Court, Fort Washington","2/24/2018 - 2/24/2018, Every day, Daily Average",1531,1211,1934
"186","20001, Northwest Washington, Washington","14","0 Hesketh Street, Chevy Chase","2/24/2018 - 2/24/2018, Every day, Daily Average",1736,1401,2149
"186","20001, Northwest Washington, Washington","15","8100 Roanoke Avenue, Takoma Park","2/24/2018 - 2/24/2018, Every day, Daily Average",1832,1539,2180
"186","20001, Northwest Washington, Washington","16","8800 Walden Road, Silver Spring","2/24/2018 - 2/24/2018, Every day, Daily Average",1860,1601,2159
"186","20001, Northwest Washington, Washington","17","8300 Colesville Road, Downtown Silver Spring, Silver Spring","2/24/2018 - 2/24/2018, Every day, Daily Average",1820,1507,2197
"186","20001, Northwest Washington, Washington","18","8900 Moreland Lane, Annandale","2/24/2018 - 2/24/2018, Every day, Daily Average",1602,1178,2177
"186","20001, Northwest Washington, Washington","19","Thomas Avenue, Arlington","2/24/2018 - 2/24/2018, Every day, Daily Average",559,394,791
"186","20001, Northwest Washington, Washington","20","McClellan Drive, Arlington","2/24/2018 - 2/24/2018, Every day, Daily Average",512,331,790
"186","20001, Northwest Washington, Washington","21","3600 North Vernon Street, Old Glebe, Arlington","2/24/2018 - 2/24/2018, Every day, Daily Average",1005,779,1294
"186","20001, Northwest Washington, Washington","22","6500 Park View Court, West Springfield","2/24/2018 - 2/24/2018, Every day, Daily Average",2034,1545,2676
"186","20001, Northwest Washington, Washington","23","6500 Bellamine Court, McLean","2/24/2018 - 2/24/2018, Every day, Daily Average",1157,961,1392
"186","20001, Northwest Washington, Washington","24","8600 Brook Road, McLean","2/24/2018 - 2/24/2018, Every day, Daily Average",1554,1251,1930
"186","20001, Northwest Washington, Washington","25","8200 Mockingbird Drive, Annandale","2/24/2018 - 2/24/2018, Every day, Daily Average",1530,1159,2018
