"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"186","20001, Northwest Washington, Washington","1","5400 Arnold Avenue Southwest, Southwest Washington, Washington","3/4/2018 - 3/4/2018, Every day, Daily Average",689,494,960
"186","20001, Northwest Washington, Washington","2","1400 Juniper Street Northwest, Northwest Washington, Washington","3/4/2018 - 3/4/2018, Every day, Daily Average",1642,1357,1986
"186","20001, Northwest Washington, Washington","3","4800 Canal Road Northwest, Northwest Washington, Washington","3/4/2018 - 3/4/2018, Every day, Daily Average",1186,907,1549
"186","20001, Northwest Washington, Washington","4","2700 Unicorn Lane Northwest, Northwest Washington, Washington","3/4/2018 - 3/4/2018, Every day, Daily Average",1708,1416,2059
"186","20001, Northwest Washington, Washington","5","4500 Q Place Northwest, Northwest Washington, Washington","3/4/2018 - 3/4/2018, Every day, Daily Average",936,721,1214
"186","20001, Northwest Washington, Washington","6","Ridge Road Northwest, Northwest Washington, Washington","3/4/2018 - 3/4/2018, Every day, Daily Average",1460,1156,1842
"186","20001, Northwest Washington, Washington","7","4500 Ohio Drive Southwest, Southwest Washington, Washington","3/4/2018 - 3/4/2018, Every day, Daily Average",261,132,514
"186","20001, Northwest Washington, Washington","8","0 H Street Northwest, Northwest Washington, Washington","3/4/2018 - 3/4/2018, Every day, Daily Average",193,78,474
"186","20001, Northwest Washington, Washington","9","1800 Upshur Street Northwest, Northwest Washington, Washington","3/4/2018 - 3/4/2018, Every day, Daily Average",1224,952,1573
"186","20001, Northwest Washington, Washington","10","1500 30th Street Northwest, Northwest Washington, Washington","3/4/2018 - 3/4/2018, Every day, Daily Average",671,456,986
"186","20001, Northwest Washington, Washington","11","1600 Tuckerman Street Northwest, Northwest Washington, Washington","3/4/2018 - 3/4/2018, Every day, Daily Average",1459,1096,1941
"186","20001, Northwest Washington, Washington","13","2100 Monticello Court, Fort Washington","3/4/2018 - 3/4/2018, Every day, Daily Average",1313,1096,1572
"186","20001, Northwest Washington, Washington","14","0 Hesketh Street, Chevy Chase","3/4/2018 - 3/4/2018, Every day, Daily Average",1771,1425,2200
"186","20001, Northwest Washington, Washington","15","8100 Roanoke Avenue, Takoma Park","3/4/2018 - 3/4/2018, Every day, Daily Average",2066,1636,2607
"186","20001, Northwest Washington, Washington","16","8800 Walden Road, Silver Spring","3/4/2018 - 3/4/2018, Every day, Daily Average",2019,1609,2533
"186","20001, Northwest Washington, Washington","17","8300 Colesville Road, Downtown Silver Spring, Silver Spring","3/4/2018 - 3/4/2018, Every day, Daily Average",1770,1470,2130
"186","20001, Northwest Washington, Washington","18","8900 Moreland Lane, Annandale","3/4/2018 - 3/4/2018, Every day, Daily Average",1430,1118,1827
