"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"186","20001, Northwest Washington, Washington","1","5400 Arnold Avenue Southwest, Southwest Washington, Washington","2/25/2018 - 2/25/2018, Every day, Daily Average",704,508,973
"186","20001, Northwest Washington, Washington","2","1400 Juniper Street Northwest, Northwest Washington, Washington","2/25/2018 - 2/25/2018, Every day, Daily Average",1574,1270,1950
"186","20001, Northwest Washington, Washington","3","4800 Canal Road Northwest, Northwest Washington, Washington","2/25/2018 - 2/25/2018, Every day, Daily Average",1222,940,1588
"186","20001, Northwest Washington, Washington","4","2700 Unicorn Lane Northwest, Northwest Washington, Washington","2/25/2018 - 2/25/2018, Every day, Daily Average",1606,1337,1928
"186","20001, Northwest Washington, Washington","5","4500 Q Place Northwest, Northwest Washington, Washington","2/25/2018 - 2/25/2018, Every day, Daily Average",874,687,1111
"186","20001, Northwest Washington, Washington","6","Ridge Road Northwest, Northwest Washington, Washington","2/25/2018 - 2/25/2018, Every day, Daily Average",1344,1073,1682
"186","20001, Northwest Washington, Washington","7","4500 Ohio Drive Southwest, Southwest Washington, Washington","2/25/2018 - 2/25/2018, Every day, Daily Average",249,128,483
"186","20001, Northwest Washington, Washington","8","0 H Street Northwest, Northwest Washington, Washington","2/25/2018 - 2/25/2018, Every day, Daily Average",181,74,437
"186","20001, Northwest Washington, Washington","9","1800 Upshur Street Northwest, Northwest Washington, Washington","2/25/2018 - 2/25/2018, Every day, Daily Average",1171,889,1542
"186","20001, Northwest Washington, Washington","10","1500 30th Street Northwest, Northwest Washington, Washington","2/25/2018 - 2/25/2018, Every day, Daily Average",662,460,952
"186","20001, Northwest Washington, Washington","11","1600 Tuckerman Street Northwest, Northwest Washington, Washington","2/25/2018 - 2/25/2018, Every day, Daily Average",1416,1137,1762
"186","20001, Northwest Washington, Washington","13","2100 Monticello Court, Fort Washington","2/25/2018 - 2/25/2018, Every day, Daily Average",1351,1151,1584
"186","20001, Northwest Washington, Washington","14","0 Hesketh Street, Chevy Chase","2/25/2018 - 2/25/2018, Every day, Daily Average",1594,1313,1933
"186","20001, Northwest Washington, Washington","15","8100 Roanoke Avenue, Takoma Park","2/25/2018 - 2/25/2018, Every day, Daily Average",1880,1587,2226
"186","20001, Northwest Washington, Washington","16","8800 Walden Road, Silver Spring","2/25/2018 - 2/25/2018, Every day, Daily Average",1950,1689,2251
"186","20001, Northwest Washington, Washington","17","8300 Colesville Road, Downtown Silver Spring, Silver Spring","2/25/2018 - 2/25/2018, Every day, Daily Average",1702,1392,2079
"186","20001, Northwest Washington, Washington","18","8900 Moreland Lane, Annandale","2/25/2018 - 2/25/2018, Every day, Daily Average",1316,1073,1613
"186","20001, Northwest Washington, Washington","19","Thomas Avenue, Arlington","2/25/2018 - 2/25/2018, Every day, Daily Average",549,405,742
"186","20001, Northwest Washington, Washington","20","McClellan Drive, Arlington","2/25/2018 - 2/25/2018, Every day, Daily Average",444,300,656
"186","20001, Northwest Washington, Washington","21","3600 North Vernon Street, Old Glebe, Arlington","2/25/2018 - 2/25/2018, Every day, Daily Average",916,737,1137
"186","20001, Northwest Washington, Washington","22","6500 Park View Court, West Springfield","2/25/2018 - 2/25/2018, Every day, Daily Average",1558,1291,1879
"186","20001, Northwest Washington, Washington","23","6500 Bellamine Court, McLean","2/25/2018 - 2/25/2018, Every day, Daily Average",1100,906,1334
"186","20001, Northwest Washington, Washington","24","8600 Brook Road, McLean","2/25/2018 - 2/25/2018, Every day, Daily Average",1537,1197,1972
"186","20001, Northwest Washington, Washington","25","8200 Mockingbird Drive, Annandale","2/25/2018 - 2/25/2018, Every day, Daily Average",1360,1035,1785
"186","20001, Northwest Washington, Washington","26","9400 Pamlico Lane, Great Falls","2/25/2018 - 2/25/2018, Every day, Daily Average",1408,1097,1806
"186","20001, Northwest Washington, Washington","27","6200 Everglades Drive, Alexandria","2/25/2018 - 2/25/2018, Every day, Daily Average",1270,937,1719
"186","20001, Northwest Washington, Washington","28","2100 North Scott Street, North Highland, Arlington","2/25/2018 - 2/25/2018, Every day, Daily Average",703,512,964
"186","20001, Northwest Washington, Washington","29","700 Carpenter Road, Potomac Yard, Alexandria","2/25/2018 - 2/25/2018, Every day, Daily Average",720,562,921
"186","20001, Northwest Washington, Washington","30","0 Auburn Court, Potomac West, Alexandria","2/25/2018 - 2/25/2018, Every day, Daily Average",887,683,1151
"186","20001, Northwest Washington, Washington","31","1000 C Street Northeast, Northeast Washington, Washington","2/25/2018 - 2/25/2018, Every day, Daily Average",672,532,847
"186","20001, Northwest Washington, Washington","32","2600 13th Street Northwest, Northwest Washington, Washington","2/25/2018 - 2/25/2018, Every day, Daily Average",665,498,887
"186","20001, Northwest Washington, Washington","33","4400 E Street Southeast, Benning Ridge, Washington","2/25/2018 - 2/25/2018, Every day, Daily Average",1217,926,1598
"186","20001, Northwest Washington, Washington","34","1700 Independence Avenue Southeast, Southeast Washington, Washington","2/25/2018 - 2/25/2018, Every day, Daily Average",893,721,1104
"186","20001, Northwest Washington, Washington","35","2100 1st Street Northwest, Northwest Washington, Washington","2/25/2018 - 2/25/2018, Every day, Daily Average",737,523,1036
