"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"186","20001, Northwest Washington, Washington","1","5400 Arnold Avenue Southwest, Southwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",854,591,1232
"186","20001, Northwest Washington, Washington","2","1400 Juniper Street Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1802,1401,2316
"186","20001, Northwest Washington, Washington","3","4800 Canal Road Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1348,980,1852
"186","20001, Northwest Washington, Washington","4","2700 Unicorn Lane Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1835,1442,2334
"186","20001, Northwest Washington, Washington","5","4500 Q Place Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1160,811,1658
"186","20001, Northwest Washington, Washington","6","Ridge Road Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1557,1223,1981
"186","20001, Northwest Washington, Washington","7","4500 Ohio Drive Southwest, Southwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",289,146,570
"186","20001, Northwest Washington, Washington","8","0 H Street Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",224,97,516
"186","20001, Northwest Washington, Washington","9","1800 Upshur Street Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1293,971,1720
"186","20001, Northwest Washington, Washington","10","1500 30th Street Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",809,544,1201
"186","20001, Northwest Washington, Washington","11","1600 Tuckerman Street Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1626,1250,2114
"186","20001, Northwest Washington, Washington","13","2100 Monticello Court, Fort Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",2293,1687,3116
"186","20001, Northwest Washington, Washington","14","0 Hesketh Street, Chevy Chase","1/26/2018 - 1/26/2018, Every day, Daily Average",1850,1270,2693
"186","20001, Northwest Washington, Washington","15","8100 Roanoke Avenue, Takoma Park","1/26/2018 - 1/26/2018, Every day, Daily Average",2240,1839,2727
"186","20001, Northwest Washington, Washington","16","8800 Walden Road, Silver Spring","1/26/2018 - 1/26/2018, Every day, Daily Average",2314,1942,2755
"186","20001, Northwest Washington, Washington","17","8300 Colesville Road, Downtown Silver Spring, Silver Spring","1/26/2018 - 1/26/2018, Every day, Daily Average",1927,1508,2461
"186","20001, Northwest Washington, Washington","18","8900 Moreland Lane, Annandale","1/26/2018 - 1/26/2018, Every day, Daily Average",1865,1382,2516
"186","20001, Northwest Washington, Washington","19","Thomas Avenue, Arlington","1/26/2018 - 1/26/2018, Every day, Daily Average",630,446,889
"186","20001, Northwest Washington, Washington","20","McClellan Drive, Arlington","1/26/2018 - 1/26/2018, Every day, Daily Average",518,345,776
"186","20001, Northwest Washington, Washington","21","3600 North Vernon Street, Old Glebe, Arlington","1/26/2018 - 1/26/2018, Every day, Daily Average",1020,762,1364
"186","20001, Northwest Washington, Washington","22","6500 Park View Court, West Springfield","1/26/2018 - 1/26/2018, Every day, Daily Average",1499,1197,1877
"186","20001, Northwest Washington, Washington","23","6500 Bellamine Court, McLean","1/26/2018 - 1/26/2018, Every day, Daily Average",1190,923,1532
"186","20001, Northwest Washington, Washington","24","8600 Brook Road, McLean","1/26/2018 - 1/26/2018, Every day, Daily Average",1570,1243,1981
"186","20001, Northwest Washington, Washington","25","8200 Mockingbird Drive, Annandale","1/26/2018 - 1/26/2018, Every day, Daily Average",1715,1253,2346
"186","20001, Northwest Washington, Washington","26","9400 Pamlico Lane, Great Falls","1/26/2018 - 1/26/2018, Every day, Daily Average",1440,1079,1920
"186","20001, Northwest Washington, Washington","27","6200 Everglades Drive, Alexandria","1/26/2018 - 1/26/2018, Every day, Daily Average",1370,1027,1826
"186","20001, Northwest Washington, Washington","28","2100 North Scott Street, North Highland, Arlington","1/26/2018 - 1/26/2018, Every day, Daily Average",769,547,1080
"186","20001, Northwest Washington, Washington","29","700 Carpenter Road, Potomac Yard, Alexandria","1/26/2018 - 1/26/2018, Every day, Daily Average",843,614,1156
"186","20001, Northwest Washington, Washington","30","0 Auburn Court, Potomac West, Alexandria","1/26/2018 - 1/26/2018, Every day, Daily Average",1011,762,1340
"186","20001, Northwest Washington, Washington","31","1000 C Street Northeast, Northeast Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",774,578,1036
"186","20001, Northwest Washington, Washington","32","2600 13th Street Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",884,629,1240
"186","20001, Northwest Washington, Washington","33","4400 E Street Southeast, Benning Ridge, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1654,1178,2321
"186","20001, Northwest Washington, Washington","34","1700 Independence Avenue Southeast, Southeast Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1094,838,1427
"186","20001, Northwest Washington, Washington","35","2100 1st Street Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",804,538,1201
"186","20001, Northwest Washington, Washington","36","500 17th Street Northeast, Northeast Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1061,754,1492
"186","20001, Northwest Washington, Washington","37","3500 Toledo Terrace, Chillum","1/26/2018 - 1/26/2018, Every day, Daily Average",2251,1727,2933
"186","20001, Northwest Washington, Washington","38","5300 Westport Road, Chevy Chase","1/26/2018 - 1/26/2018, Every day, Daily Average",1729,1417,2108
"186","20001, Northwest Washington, Washington","39","Woodrow Wilson Memorial Bridge, Old Town, Alexandria","1/26/2018 - 1/26/2018, Every day, Daily Average",1269,900,1788
"186","20001, Northwest Washington, Washington","40","6000 Rixey Drive, Fair Haven, Alexandria","1/26/2018 - 1/26/2018, Every day, Daily Average",1419,1129,1783
"186","20001, Northwest Washington, Washington","41","2000 Rosedale Street Northeast, Northeast Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1209,874,1671
"186","20001, Northwest Washington, Washington","42","4200 10th Street Northeast, Northeast Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1195,868,1644
"186","20001, Northwest Washington, Washington","43","900 Randolph Street Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1234,901,1689
"186","20001, Northwest Washington, Washington","44","1200 New Jersey Avenue Southeast, Southeast Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",545,364,814
"186","20001, Northwest Washington, Washington","45","0 L Place Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",240,97,589
"186","20001, Northwest Washington, Washington","46","1900 Anacostia Drive, Southeast Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",857,553,1326
"186","20001, Northwest Washington, Washington","47","0 S Street Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",686,455,1032
"186","20001, Northwest Washington, Washington","48","3500 Commodore Joshua Barney Drive Northeast, Northeast Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1227,801,1878
"186","20001, Northwest Washington, Washington","49","2700 10th Street Northeast, Northeast Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1109,778,1579
"186","20001, Northwest Washington, Washington","50","5700 Chevy Chase Parkway Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1806,1442,2260
"186","20001, Northwest Washington, Washington","51","1300 Underwood Street Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1626,1208,2188
"186","20001, Northwest Washington, Washington","52","200 Quackenbos Street Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1472,1112,1947
"186","20001, Northwest Washington, Washington","53","600 Atlantic Street Southeast, Southeast Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1195,863,1653
"186","20001, Northwest Washington, Washington","54","3300 Clay Street Northeast, Northeast Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",988,661,1475
"186","20001, Northwest Washington, Washington","55","500 Q Street Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",470,285,774
"186","20001, Northwest Washington, Washington","56","Center Leg Freeway, Southwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",427,285,639
"186","20001, Northwest Washington, Washington","57","600 Edgewood Street Northeast, Northeast Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",910,633,1306
"186","20001, Northwest Washington, Washington","58","3100 13th Street Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1047,766,1430
"186","20001, Northwest Washington, Washington","59","2800 45th Street Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1326,981,1790
"186","20001, Northwest Washington, Washington","60","3200 Dubois Place Southeast, Southeast Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1022,665,1568
"186","20001, Northwest Washington, Washington","61","1400 15th Street Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",442,279,699
"186","20001, Northwest Washington, Washington","62","1800 W Street Southeast, Southeast Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1204,855,1695
"186","20001, Northwest Washington, Washington","63","4400 40th Street, Brentwood","1/26/2018 - 1/26/2018, Every day, Daily Average",1649,1237,2197
"186","20001, Northwest Washington, Washington","64","1800 Ontario Place Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",1160,860,1564
"186","20001, Northwest Washington, Washington","65","1900 15th Street Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",695,484,997
"186","20001, Northwest Washington, Washington","66","1400 K Street Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",218,100,472
"186","20001, Northwest Washington, Washington","67","900 Q Street Northwest, Northwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",478,301,757
"186","20001, Northwest Washington, Washington","68","8800 Springfield Road, Laurel","1/26/2018 - 1/26/2018, Every day, Daily Average",1853,1251,2744
"186","20001, Northwest Washington, Washington","69","12500 Farm Road, Greater Upper Marlboro, Upper Marlboro","1/26/2018 - 1/26/2018, Every day, Daily Average",1834,1397,2407
"186","20001, Northwest Washington, Washington","70","3600 Anton Terrace, District Heights","1/26/2018 - 1/26/2018, Every day, Daily Average",1843,1343,2528
"186","20001, Northwest Washington, Washington","71","5600 Somerset House II, Wisconsin Avenue, Chevy Chase","1/26/2018 - 1/26/2018, Every day, Daily Average",1805,1488,2188
"186","20001, Northwest Washington, Washington","72","4900 Hampden Lane, Bethesda","1/26/2018 - 1/26/2018, Every day, Daily Average",2115,1700,2630
"186","20001, Northwest Washington, Washington","73","3300 Chillum Road, Mount Rainier","1/26/2018 - 1/26/2018, Every day, Daily Average",1595,1212,2097
"186","20001, Northwest Washington, Washington","74","11100 Rodeo Court, Upper Marlboro","1/26/2018 - 1/26/2018, Every day, Daily Average",1954,1440,2650
"186","20001, Northwest Washington, Washington","75","4900 Blackfoot Road, Hollywood, College Park","1/26/2018 - 1/26/2018, Every day, Daily Average",1929,1408,2641
"186","20001, Northwest Washington, Washington","76","7300 16th Place, Hyattsville","1/26/2018 - 1/26/2018, Every day, Daily Average",1809,1286,2544
"186","20001, Northwest Washington, Washington","77","3200 Donnell Drive, Forestville","1/26/2018 - 1/26/2018, Every day, Daily Average",1611,1175,2207
"186","20001, Northwest Washington, Washington","78","5000 Roseld Court, Oxon Hill","1/26/2018 - 1/26/2018, Every day, Daily Average",1363,1004,1848
"186","20001, Northwest Washington, Washington","79","2200 Washington Avenue, Silver Spring","1/26/2018 - 1/26/2018, Every day, Daily Average",2022,1668,2451
"186","20001, Northwest Washington, Washington","80","3100 West Avenue, District Heights","1/26/2018 - 1/26/2018, Every day, Daily Average",1783,1289,2465
"186","20001, Northwest Washington, Washington","81","1600 Nova Avenue, Capitol Heights","1/26/2018 - 1/26/2018, Every day, Daily Average",1444,1014,2054
"186","20001, Northwest Washington, Washington","82","2000 South Eads Street, Crystal City, Arlington","1/26/2018 - 1/26/2018, Every day, Daily Average",690,483,985
"186","20001, Northwest Washington, Washington","83","500 Ethan Allen Avenue, Takoma Park","1/26/2018 - 1/26/2018, Every day, Daily Average",1696,1286,2236
"186","20001, Northwest Washington, Washington","84","7700 Oxman Road, Hyattsville","1/26/2018 - 1/26/2018, Every day, Daily Average",1788,1214,2632
"186","20001, Northwest Washington, Washington","85","100 Lakeside Drive, Greenbelt","1/26/2018 - 1/26/2018, Every day, Daily Average",1511,1156,1973
"186","20001, Northwest Washington, Washington","86","9100 Fairview Road, Silver Spring","1/26/2018 - 1/26/2018, Every day, Daily Average",2296,1793,2938
"186","20001, Northwest Washington, Washington","87","7600 Greenbrook Drive, Greenbelt","1/26/2018 - 1/26/2018, Every day, Daily Average",1573,1102,2245
"186","20001, Northwest Washington, Washington","88","5000 Newport Avenue, Bethesda","1/26/2018 - 1/26/2018, Every day, Daily Average",1638,1302,2059
"186","20001, Northwest Washington, Washington","89","10000 Oaklyn Drive, Potomac","1/26/2018 - 1/26/2018, Every day, Daily Average",1363,1102,1684
"186","20001, Northwest Washington, Washington","90","11400 Macarthur Boulevard Northwest, Potomac","1/26/2018 - 1/26/2018, Every day, Daily Average",1410,1071,1856
"186","20001, Northwest Washington, Washington","91","6400 Walhonding Road, Bethesda","1/26/2018 - 1/26/2018, Every day, Daily Average",1374,1085,1738
"186","20001, Northwest Washington, Washington","92","3100 North Nelson Street, Bellevue Forest, Arlington","1/26/2018 - 1/26/2018, Every day, Daily Average",878,642,1199
"186","20001, Northwest Washington, Washington","93","6400 Vale Street, Alexandria","1/26/2018 - 1/26/2018, Every day, Daily Average",1187,880,1600
"186","20001, Northwest Washington, Washington","94","6300 8th Circle, Alexandria","1/26/2018 - 1/26/2018, Every day, Daily Average",1037,764,1407
"186","20001, Northwest Washington, Washington","95","1800 South Stafford Street, Douglas Park, Arlington","1/26/2018 - 1/26/2018, Every day, Daily Average",992,723,1359
"186","20001, Northwest Washington, Washington","97","5500 Jowett Court, Alexandria","1/26/2018 - 1/26/2018, Every day, Daily Average",1375,1142,1654
"186","20001, Northwest Washington, Washington","98","1600 13th Road South, Arlington Views, Arlington","1/26/2018 - 1/26/2018, Every day, Daily Average",598,416,859
"186","20001, Northwest Washington, Washington","100","1200 Oronoco Street, Old Town West, Alexandria","1/26/2018 - 1/26/2018, Every day, Daily Average",1017,757,1365
"186","20001, Northwest Washington, Washington","101","100 South Fayette Street, Old Town, Alexandria","1/26/2018 - 1/26/2018, Every day, Daily Average",1149,871,1515
"186","20001, Northwest Washington, Washington","102","3700 South George Mason Drive, Falls Church","1/26/2018 - 1/26/2018, Every day, Daily Average",1151,793,1668
"186","20001, Northwest Washington, Washington","103","600 South Ball Street, Crystal City, Arlington","1/26/2018 - 1/26/2018, Every day, Daily Average",546,368,809
"186","20001, Northwest Washington, Washington","104","2500 Jackson Parkway, Vienna","1/26/2018 - 1/26/2018, Every day, Daily Average",1472,1116,1940
"186","20001, Northwest Washington, Washington","105","Dwight D. Eisenhower Southwest Freeway, Southwest Washington, Washington","1/26/2018 - 1/26/2018, Every day, Daily Average",336,213,528
