"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"186","20001, Northwest Washington, Washington","1","5400 Arnold Avenue Southwest, Southwest Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",1096,666,1803
"186","20001, Northwest Washington, Washington","2","1400 Juniper Street Northwest, Northwest Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",1605,1279,2013
"186","20001, Northwest Washington, Washington","3","4800 Canal Road Northwest, Northwest Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",1399,1044,1873
"186","20001, Northwest Washington, Washington","4","2700 Unicorn Lane Northwest, Northwest Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",1671,1342,2079
"186","20001, Northwest Washington, Washington","5","4500 Q Place Northwest, Northwest Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",1046,785,1393
"186","20001, Northwest Washington, Washington","6","Ridge Road Northwest, Northwest Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",1403,1061,1853
"186","20001, Northwest Washington, Washington","7","4500 Ohio Drive Southwest, Southwest Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",279,138,563
"186","20001, Northwest Washington, Washington","8","0 H Street Northwest, Northwest Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",207,85,500
"186","20001, Northwest Washington, Washington","9","1800 Upshur Street Northwest, Northwest Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",1228,931,1618
"186","20001, Northwest Washington, Washington","10","1500 30th Street Northwest, Northwest Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",758,528,1087
"186","20001, Northwest Washington, Washington","11","1600 Tuckerman Street Northwest, Northwest Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",1397,1113,1753
"186","20001, Northwest Washington, Washington","13","2100 Monticello Court, Fort Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",1500,1149,1956
"186","20001, Northwest Washington, Washington","14","0 Hesketh Street, Chevy Chase","1/8/2018 - 1/8/2018, Every day, Daily Average",1737,1348,2237
"186","20001, Northwest Washington, Washington","17","8300 Colesville Road, Downtown Silver Spring, Silver Spring","1/8/2018 - 1/8/2018, Every day, Daily Average",1664,1385,1998
"186","20001, Northwest Washington, Washington","18","8900 Moreland Lane, Annandale","1/8/2018 - 1/8/2018, Every day, Daily Average",1486,1191,1853
"186","20001, Northwest Washington, Washington","19","Thomas Avenue, Arlington","1/8/2018 - 1/8/2018, Every day, Daily Average",629,444,889
"186","20001, Northwest Washington, Washington","20","McClellan Drive, Arlington","1/8/2018 - 1/8/2018, Every day, Daily Average",510,334,777
"186","20001, Northwest Washington, Washington","21","3600 North Vernon Street, Old Glebe, Arlington","1/8/2018 - 1/8/2018, Every day, Daily Average",966,735,1268
"186","20001, Northwest Washington, Washington","23","6500 Bellamine Court, McLean","1/8/2018 - 1/8/2018, Every day, Daily Average",1203,903,1600
"186","20001, Northwest Washington, Washington","24","8600 Brook Road, McLean","1/8/2018 - 1/8/2018, Every day, Daily Average",1801,1354,2395
"186","20001, Northwest Washington, Washington","25","8200 Mockingbird Drive, Annandale","1/8/2018 - 1/8/2018, Every day, Daily Average",1365,1130,1648
"186","20001, Northwest Washington, Washington","26","9400 Pamlico Lane, Great Falls","1/8/2018 - 1/8/2018, Every day, Daily Average",1591,1138,2223
"186","20001, Northwest Washington, Washington","27","6200 Everglades Drive, Alexandria","1/8/2018 - 1/8/2018, Every day, Daily Average",1539,1033,2290
"186","20001, Northwest Washington, Washington","28","2100 North Scott Street, North Highland, Arlington","1/8/2018 - 1/8/2018, Every day, Daily Average",800,568,1125
"186","20001, Northwest Washington, Washington","29","700 Carpenter Road, Potomac Yard, Alexandria","1/8/2018 - 1/8/2018, Every day, Daily Average",836,614,1136
"186","20001, Northwest Washington, Washington","30","0 Auburn Court, Potomac West, Alexandria","1/8/2018 - 1/8/2018, Every day, Daily Average",1025,752,1396
"186","20001, Northwest Washington, Washington","31","1000 C Street Northeast, Northeast Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",770,574,1031
"186","20001, Northwest Washington, Washington","32","2600 13th Street Northwest, Northwest Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",763,558,1043
"186","20001, Northwest Washington, Washington","33","4400 E Street Southeast, Benning Ridge, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",1600,1186,2158
"186","20001, Northwest Washington, Washington","34","1700 Independence Avenue Southeast, Southeast Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",1084,838,1401
"186","20001, Northwest Washington, Washington","35","2100 1st Street Northwest, Northwest Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",789,559,1113
"186","20001, Northwest Washington, Washington","36","500 17th Street Northeast, Northeast Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",996,754,1314
"186","20001, Northwest Washington, Washington","37","3500 Toledo Terrace, Chillum","1/8/2018 - 1/8/2018, Every day, Daily Average",1900,1583,2279
"186","20001, Northwest Washington, Washington","38","5300 Westport Road, Chevy Chase","1/8/2018 - 1/8/2018, Every day, Daily Average",1753,1353,2270
"186","20001, Northwest Washington, Washington","39","Woodrow Wilson Memorial Bridge, Old Town, Alexandria","1/8/2018 - 1/8/2018, Every day, Daily Average",1189,928,1522
"186","20001, Northwest Washington, Washington","40","6000 Rixey Drive, Fair Haven, Alexandria","1/8/2018 - 1/8/2018, Every day, Daily Average",1736,1182,2549
"186","20001, Northwest Washington, Washington","41","2000 Rosedale Street Northeast, Northeast Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",1149,879,1500
"186","20001, Northwest Washington, Washington","42","4200 10th Street Northeast, Northeast Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",1231,908,1667
"186","20001, Northwest Washington, Washington","43","900 Randolph Street Northwest, Northwest Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",1109,816,1506
"186","20001, Northwest Washington, Washington","44","1200 New Jersey Avenue Southeast, Southeast Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",564,359,884
"186","20001, Northwest Washington, Washington","45","0 L Place Northwest, Northwest Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",227,90,567
"186","20001, Northwest Washington, Washington","46","1900 Anacostia Drive, Southeast Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",783,523,1171
"186","20001, Northwest Washington, Washington","47","0 S Street Northwest, Northwest Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",653,455,936
"186","20001, Northwest Washington, Washington","48","3500 Commodore Joshua Barney Drive Northeast, Northeast Washington, Washington","1/8/2018 - 1/8/2018, Every day, Daily Average",1429,897,2274
