"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"186","20001, Northwest Washington, Washington","1","5400 Arnold Avenue Southwest, Southwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",770,540,1096
"186","20001, Northwest Washington, Washington","2","1400 Juniper Street Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",1650,1331,2044
"186","20001, Northwest Washington, Washington","3","4800 Canal Road Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",1231,925,1636
"186","20001, Northwest Washington, Washington","4","2700 Unicorn Lane Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",1733,1315,2282
"186","20001, Northwest Washington, Washington","5","4500 Q Place Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",1010,757,1346
"186","20001, Northwest Washington, Washington","6","Ridge Road Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",1413,1133,1761
"186","20001, Northwest Washington, Washington","7","4500 Ohio Drive Southwest, Southwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",276,141,538
"186","20001, Northwest Washington, Washington","8","0 H Street Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",202,87,468
"186","20001, Northwest Washington, Washington","9","1800 Upshur Street Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",1166,916,1483
"186","20001, Northwest Washington, Washington","10","1500 30th Street Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",761,527,1097
"186","20001, Northwest Washington, Washington","11","1600 Tuckerman Street Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",1458,1175,1808
"186","20001, Northwest Washington, Washington","13","2100 Monticello Court, Fort Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",1574,1258,1967
"186","20001, Northwest Washington, Washington","14","0 Hesketh Street, Chevy Chase","2/26/2018 - 2/26/2018, Every day, Daily Average",1707,1401,2079
"186","20001, Northwest Washington, Washington","15","8100 Roanoke Avenue, Takoma Park","2/26/2018 - 2/26/2018, Every day, Daily Average",2074,1743,2466
"186","20001, Northwest Washington, Washington","16","8800 Walden Road, Silver Spring","2/26/2018 - 2/26/2018, Every day, Daily Average",2214,1838,2665
"186","20001, Northwest Washington, Washington","17","8300 Colesville Road, Downtown Silver Spring, Silver Spring","2/26/2018 - 2/26/2018, Every day, Daily Average",1725,1431,2078
"186","20001, Northwest Washington, Washington","18","8900 Moreland Lane, Annandale","2/26/2018 - 2/26/2018, Every day, Daily Average",1901,1433,2520
"186","20001, Northwest Washington, Washington","19","Thomas Avenue, Arlington","2/26/2018 - 2/26/2018, Every day, Daily Average",597,452,788
"186","20001, Northwest Washington, Washington","20","McClellan Drive, Arlington","2/26/2018 - 2/26/2018, Every day, Daily Average",498,333,742
"186","20001, Northwest Washington, Washington","21","3600 North Vernon Street, Old Glebe, Arlington","2/26/2018 - 2/26/2018, Every day, Daily Average",974,750,1264
"186","20001, Northwest Washington, Washington","23","6500 Bellamine Court, McLean","2/26/2018 - 2/26/2018, Every day, Daily Average",1162,922,1463
"186","20001, Northwest Washington, Washington","24","8600 Brook Road, McLean","2/26/2018 - 2/26/2018, Every day, Daily Average",1541,1253,1894
"186","20001, Northwest Washington, Washington","25","8200 Mockingbird Drive, Annandale","2/26/2018 - 2/26/2018, Every day, Daily Average",1929,1485,2504
"186","20001, Northwest Washington, Washington","26","9400 Pamlico Lane, Great Falls","2/26/2018 - 2/26/2018, Every day, Daily Average",1380,1106,1721
"186","20001, Northwest Washington, Washington","27","6200 Everglades Drive, Alexandria","2/26/2018 - 2/26/2018, Every day, Daily Average",1363,1155,1607
"186","20001, Northwest Washington, Washington","28","2100 North Scott Street, North Highland, Arlington","2/26/2018 - 2/26/2018, Every day, Daily Average",759,548,1049
"186","20001, Northwest Washington, Washington","29","700 Carpenter Road, Potomac Yard, Alexandria","2/26/2018 - 2/26/2018, Every day, Daily Average",839,624,1126
"186","20001, Northwest Washington, Washington","30","0 Auburn Court, Potomac West, Alexandria","2/26/2018 - 2/26/2018, Every day, Daily Average",981,703,1367
"186","20001, Northwest Washington, Washington","31","1000 C Street Northeast, Northeast Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",732,562,953
"186","20001, Northwest Washington, Washington","32","2600 13th Street Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",700,513,953
"186","20001, Northwest Washington, Washington","33","4400 E Street Southeast, Benning Ridge, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",1431,1139,1796
"186","20001, Northwest Washington, Washington","34","1700 Independence Avenue Southeast, Southeast Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",992,764,1286
"186","20001, Northwest Washington, Washington","35","2100 1st Street Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",690,506,939
"186","20001, Northwest Washington, Washington","36","500 17th Street Northeast, Northeast Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",958,723,1267
"186","20001, Northwest Washington, Washington","37","3500 Toledo Terrace, Chillum","2/26/2018 - 2/26/2018, Every day, Daily Average",1743,1357,2238
"186","20001, Northwest Washington, Washington","38","5300 Westport Road, Chevy Chase","2/26/2018 - 2/26/2018, Every day, Daily Average",1708,1383,2108
"186","20001, Northwest Washington, Washington","39","Woodrow Wilson Memorial Bridge, Old Town, Alexandria","2/26/2018 - 2/26/2018, Every day, Daily Average",1266,898,1784
"186","20001, Northwest Washington, Washington","40","6000 Rixey Drive, Fair Haven, Alexandria","2/26/2018 - 2/26/2018, Every day, Daily Average",1517,1101,2089
"186","20001, Northwest Washington, Washington","41","2000 Rosedale Street Northeast, Northeast Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",1060,818,1372
"186","20001, Northwest Washington, Washington","42","4200 10th Street Northeast, Northeast Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",1131,868,1472
"186","20001, Northwest Washington, Washington","43","900 Randolph Street Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",1050,785,1404
"186","20001, Northwest Washington, Washington","44","1200 New Jersey Avenue Southeast, Southeast Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",509,344,751
"186","20001, Northwest Washington, Washington","45","0 L Place Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",216,86,540
"186","20001, Northwest Washington, Washington","46","1900 Anacostia Drive, Southeast Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",743,525,1049
"186","20001, Northwest Washington, Washington","47","0 S Street Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",583,423,802
"186","20001, Northwest Washington, Washington","48","3500 Commodore Joshua Barney Drive Northeast, Northeast Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",1175,849,1624
"186","20001, Northwest Washington, Washington","49","2700 10th Street Northeast, Northeast Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",986,743,1307
"186","20001, Northwest Washington, Washington","50","5700 Chevy Chase Parkway Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",1680,1325,2129
"186","20001, Northwest Washington, Washington","51","1300 Underwood Street Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",1586,1234,2037
"186","20001, Northwest Washington, Washington","52","200 Quackenbos Street Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",1300,990,1706
"186","20001, Northwest Washington, Washington","53","600 Atlantic Street Southeast, Southeast Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",1205,907,1599
"186","20001, Northwest Washington, Washington","54","3300 Clay Street Northeast, Northeast Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",910,636,1300
"186","20001, Northwest Washington, Washington","55","500 Q Street Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",401,256,626
"186","20001, Northwest Washington, Washington","56","Center Leg Freeway, Southwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",416,281,615
"186","20001, Northwest Washington, Washington","57","600 Edgewood Street Northeast, Northeast Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",791,596,1049
"186","20001, Northwest Washington, Washington","58","3100 13th Street Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",890,647,1222
"186","20001, Northwest Washington, Washington","59","2800 45th Street Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",1244,930,1663
"186","20001, Northwest Washington, Washington","60","3200 Dubois Place Southeast, Southeast Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",914,624,1337
"186","20001, Northwest Washington, Washington","61","1400 15th Street Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",385,243,609
"186","20001, Northwest Washington, Washington","62","1800 W Street Southeast, Southeast Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",985,756,1282
"186","20001, Northwest Washington, Washington","63","4400 40th Street, Brentwood","2/26/2018 - 2/26/2018, Every day, Daily Average",1349,1103,1649
"186","20001, Northwest Washington, Washington","64","1800 Ontario Place Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",1010,759,1343
"186","20001, Northwest Washington, Washington","65","1900 15th Street Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",582,407,830
"186","20001, Northwest Washington, Washington","66","1400 K Street Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",193,87,424
"186","20001, Northwest Washington, Washington","67","900 Q Street Northwest, Northwest Washington, Washington","2/26/2018 - 2/26/2018, Every day, Daily Average",391,259,590
"186","20001, Northwest Washington, Washington","68","8800 Springfield Road, Laurel","2/26/2018 - 2/26/2018, Every day, Daily Average",1841,1427,2374
"186","20001, Northwest Washington, Washington","70","3600 Anton Terrace, District Heights","2/26/2018 - 2/26/2018, Every day, Daily Average",1441,1122,1850
"186","20001, Northwest Washington, Washington","71","5600 Somerset House II, Wisconsin Avenue, Chevy Chase","2/26/2018 - 2/26/2018, Every day, Daily Average",1782,1426,2225
"186","20001, Northwest Washington, Washington","72","4900 Hampden Lane, Bethesda","2/26/2018 - 2/26/2018, Every day, Daily Average",1991,1638,2418
"186","20001, Northwest Washington, Washington","73","3300 Chillum Road, Mount Rainier","2/26/2018 - 2/26/2018, Every day, Daily Average",1426,1135,1790
"186","20001, Northwest Washington, Washington","74","11100 Rodeo Court, Upper Marlboro","2/26/2018 - 2/26/2018, Every day, Daily Average",1724,1413,2102
"186","20001, Northwest Washington, Washington","75","4900 Blackfoot Road, Hollywood, College Park","2/26/2018 - 2/26/2018, Every day, Daily Average",2127,1621,2790
"186","20001, Northwest Washington, Washington","76","7300 16th Place, Hyattsville","2/26/2018 - 2/26/2018, Every day, Daily Average",1894,1524,2352
"186","20001, Northwest Washington, Washington","77","3200 Donnell Drive, Forestville","2/26/2018 - 2/26/2018, Every day, Daily Average",1443,1091,1907
"186","20001, Northwest Washington, Washington","78","5000 Roseld Court, Oxon Hill","2/26/2018 - 2/26/2018, Every day, Daily Average",1372,1004,1874
"186","20001, Northwest Washington, Washington","80","3100 West Avenue, District Heights","2/26/2018 - 2/26/2018, Every day, Daily Average",1508,1165,1951
"186","20001, Northwest Washington, Washington","81","1600 Nova Avenue, Capitol Heights","2/26/2018 - 2/26/2018, Every day, Daily Average",1269,926,1737
"186","20001, Northwest Washington, Washington","82","2000 South Eads Street, Crystal City, Arlington","2/26/2018 - 2/26/2018, Every day, Daily Average",640,448,912
"186","20001, Northwest Washington, Washington","83","500 Ethan Allen Avenue, Takoma Park","2/26/2018 - 2/26/2018, Every day, Daily Average",1465,1089,1970
"186","20001, Northwest Washington, Washington","84","7700 Oxman Road, Hyattsville","2/26/2018 - 2/26/2018, Every day, Daily Average",1574,1169,2118
"186","20001, Northwest Washington, Washington","85","100 Lakeside Drive, Greenbelt","2/26/2018 - 2/26/2018, Every day, Daily Average",1510,1199,1900
"186","20001, Northwest Washington, Washington","86","9100 Fairview Road, Silver Spring","2/26/2018 - 2/26/2018, Every day, Daily Average",2061,1674,2536
"186","20001, Northwest Washington, Washington","87","7600 Greenbrook Drive, Greenbelt","2/26/2018 - 2/26/2018, Every day, Daily Average",1525,1190,1954
"186","20001, Northwest Washington, Washington","88","5000 Newport Avenue, Bethesda","2/26/2018 - 2/26/2018, Every day, Daily Average",1615,1287,2025
"186","20001, Northwest Washington, Washington","89","10000 Oaklyn Drive, Potomac","2/26/2018 - 2/26/2018, Every day, Daily Average",1454,1161,1819
"186","20001, Northwest Washington, Washington","90","11400 Macarthur Boulevard Northwest, Potomac","2/26/2018 - 2/26/2018, Every day, Daily Average",1294,1125,1488
"186","20001, Northwest Washington, Washington","91","6400 Walhonding Road, Bethesda","2/26/2018 - 2/26/2018, Every day, Daily Average",1367,1124,1661
"186","20001, Northwest Washington, Washington","92","3100 North Nelson Street, Bellevue Forest, Arlington","2/26/2018 - 2/26/2018, Every day, Daily Average",892,657,1210
"186","20001, Northwest Washington, Washington","93","6400 Vale Street, Alexandria","2/26/2018 - 2/26/2018, Every day, Daily Average",1262,890,1788
"186","20001, Northwest Washington, Washington","94","6300 8th Circle, Alexandria","2/26/2018 - 2/26/2018, Every day, Daily Average",1073,785,1465
"186","20001, Northwest Washington, Washington","95","1800 South Stafford Street, Douglas Park, Arlington","2/26/2018 - 2/26/2018, Every day, Daily Average",1034,752,1421
"186","20001, Northwest Washington, Washington","96","7300 Beverly Street, Annandale","2/26/2018 - 2/26/2018, Every day, Daily Average",1679,1264,2229
