"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"186","20001, Northwest Washington, Washington","1","5400 Arnold Avenue Southwest, Southwest Washington, Washington","2/21/2018 - 2/21/2018, Every day, Daily Average",1072,659,1742
"186","20001, Northwest Washington, Washington","2","1400 Juniper Street Northwest, Northwest Washington, Washington","2/21/2018 - 2/21/2018, Every day, Daily Average",1756,1361,2264
"186","20001, Northwest Washington, Washington","3","4800 Canal Road Northwest, Northwest Washington, Washington","2/21/2018 - 2/21/2018, Every day, Daily Average",1546,1155,2068
"186","20001, Northwest Washington, Washington","4","2700 Unicorn Lane Northwest, Northwest Washington, Washington","2/21/2018 - 2/21/2018, Every day, Daily Average",1733,1397,2148
"186","20001, Northwest Washington, Washington","5","4500 Q Place Northwest, Northwest Washington, Washington","2/21/2018 - 2/21/2018, Every day, Daily Average",1172,833,1647
"186","20001, Northwest Washington, Washington","6","Ridge Road Northwest, Northwest Washington, Washington","2/21/2018 - 2/21/2018, Every day, Daily Average",1468,1122,1919
"186","20001, Northwest Washington, Washington","7","4500 Ohio Drive Southwest, Southwest Washington, Washington","2/21/2018 - 2/21/2018, Every day, Daily Average",315,156,635
"186","20001, Northwest Washington, Washington","8","0 H Street Northwest, Northwest Washington, Washington","2/21/2018 - 2/21/2018, Every day, Daily Average",222,96,509
"186","20001, Northwest Washington, Washington","9","1800 Upshur Street Northwest, Northwest Washington, Washington","2/21/2018 - 2/21/2018, Every day, Daily Average",1218,931,1592
"186","20001, Northwest Washington, Washington","10","1500 30th Street Northwest, Northwest Washington, Washington","2/21/2018 - 2/21/2018, Every day, Daily Average",844,563,1263
"186","20001, Northwest Washington, Washington","11","1600 Tuckerman Street Northwest, Northwest Washington, Washington","2/21/2018 - 2/21/2018, Every day, Daily Average",1512,1179,1938
"186","20001, Northwest Washington, Washington","13","2100 Monticello Court, Fort Washington","2/21/2018 - 2/21/2018, Every day, Daily Average",2950,1712,5082
"186","20001, Northwest Washington, Washington","14","0 Hesketh Street, Chevy Chase","2/21/2018 - 2/21/2018, Every day, Daily Average",1812,1419,2313
"186","20001, Northwest Washington, Washington","15","8100 Roanoke Avenue, Takoma Park","2/21/2018 - 2/21/2018, Every day, Daily Average",1906,1628,2231
"186","20001, Northwest Washington, Washington","16","8800 Walden Road, Silver Spring","2/21/2018 - 2/21/2018, Every day, Daily Average",1811,1615,2030
"186","20001, Northwest Washington, Washington","17","8300 Colesville Road, Downtown Silver Spring, Silver Spring","2/21/2018 - 2/21/2018, Every day, Daily Average",1821,1422,2330
