"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"186","20001, Northwest Washington, Washington","1","5400 Arnold Avenue Southwest, Southwest Washington, Washington","2/17/2018 - 2/17/2018, Every day, Daily Average",726,523,1006
"186","20001, Northwest Washington, Washington","2","1400 Juniper Street Northwest, Northwest Washington, Washington","2/17/2018 - 2/17/2018, Every day, Daily Average",1751,1425,2151
"186","20001, Northwest Washington, Washington","3","4800 Canal Road Northwest, Northwest Washington, Washington","2/17/2018 - 2/17/2018, Every day, Daily Average",1251,917,1706
"186","20001, Northwest Washington, Washington","4","2700 Unicorn Lane Northwest, Northwest Washington, Washington","2/17/2018 - 2/17/2018, Every day, Daily Average",1755,1352,2277
"186","20001, Northwest Washington, Washington","5","4500 Q Place Northwest, Northwest Washington, Washington","2/17/2018 - 2/17/2018, Every day, Daily Average",974,729,1301
"186","20001, Northwest Washington, Washington","6","Ridge Road Northwest, Northwest Washington, Washington","2/17/2018 - 2/17/2018, Every day, Daily Average",1394,1104,1759
"186","20001, Northwest Washington, Washington","7","4500 Ohio Drive Southwest, Southwest Washington, Washington","2/17/2018 - 2/17/2018, Every day, Daily Average",284,138,580
"186","20001, Northwest Washington, Washington","8","0 H Street Northwest, Northwest Washington, Washington","2/17/2018 - 2/17/2018, Every day, Daily Average",209,87,498
"186","20001, Northwest Washington, Washington","9","1800 Upshur Street Northwest, Northwest Washington, Washington","2/17/2018 - 2/17/2018, Every day, Daily Average",1221,975,1528
"186","20001, Northwest Washington, Washington","10","1500 30th Street Northwest, Northwest Washington, Washington","2/17/2018 - 2/17/2018, Every day, Daily Average",746,509,1091
"186","20001, Northwest Washington, Washington","11","1600 Tuckerman Street Northwest, Northwest Washington, Washington","2/17/2018 - 2/17/2018, Every day, Daily Average",1522,1210,1913
"186","20001, Northwest Washington, Washington","13","2100 Monticello Court, Fort Washington","2/17/2018 - 2/17/2018, Every day, Daily Average",1553,1113,2165
"186","20001, Northwest Washington, Washington","14","0 Hesketh Street, Chevy Chase","2/17/2018 - 2/17/2018, Every day, Daily Average",1791,1420,2257
"186","20001, Northwest Washington, Washington","15","8100 Roanoke Avenue, Takoma Park","2/17/2018 - 2/17/2018, Every day, Daily Average",1952,1455,2617
"186","20001, Northwest Washington, Washington","16","8800 Walden Road, Silver Spring","2/17/2018 - 2/17/2018, Every day, Daily Average",2102,1612,2740
"186","20001, Northwest Washington, Washington","17","8300 Colesville Road, Downtown Silver Spring, Silver Spring","2/17/2018 - 2/17/2018, Every day, Daily Average",1921,1568,2352
"186","20001, Northwest Washington, Washington","18","8900 Moreland Lane, Annandale","2/17/2018 - 2/17/2018, Every day, Daily Average",1511,1172,1947
"186","20001, Northwest Washington, Washington","19","Thomas Avenue, Arlington","2/17/2018 - 2/17/2018, Every day, Daily Average",563,401,789
"186","20001, Northwest Washington, Washington","20","McClellan Drive, Arlington","2/17/2018 - 2/17/2018, Every day, Daily Average",507,321,799
"186","20001, Northwest Washington, Washington","21","3600 North Vernon Street, Old Glebe, Arlington","2/17/2018 - 2/17/2018, Every day, Daily Average",1034,761,1404
"186","20001, Northwest Washington, Washington","22","6500 Park View Court, West Springfield","2/17/2018 - 2/17/2018, Every day, Daily Average",1753,1356,2266
"186","20001, Northwest Washington, Washington","23","6500 Bellamine Court, McLean","2/17/2018 - 2/17/2018, Every day, Daily Average",1178,909,1526
"186","20001, Northwest Washington, Washington","24","8600 Brook Road, McLean","2/17/2018 - 2/17/2018, Every day, Daily Average",1577,1205,2062
"186","20001, Northwest Washington, Washington","25","8200 Mockingbird Drive, Annandale","2/17/2018 - 2/17/2018, Every day, Daily Average",1441,1114,1863
"186","20001, Northwest Washington, Washington","26","9400 Pamlico Lane, Great Falls","2/17/2018 - 2/17/2018, Every day, Daily Average",1321,1041,1675
"186","20001, Northwest Washington, Washington","27","6200 Everglades Drive, Alexandria","2/17/2018 - 2/17/2018, Every day, Daily Average",1395,1022,1903
"186","20001, Northwest Washington, Washington","28","2100 North Scott Street, North Highland, Arlington","2/17/2018 - 2/17/2018, Every day, Daily Average",784,546,1124
"186","20001, Northwest Washington, Washington","29","700 Carpenter Road, Potomac Yard, Alexandria","2/17/2018 - 2/17/2018, Every day, Daily Average",791,585,1068
"186","20001, Northwest Washington, Washington","30","0 Auburn Court, Potomac West, Alexandria","2/17/2018 - 2/17/2018, Every day, Daily Average",908,696,1183
"186","20001, Northwest Washington, Washington","31","1000 C Street Northeast, Northeast Washington, Washington","2/17/2018 - 2/17/2018, Every day, Daily Average",698,535,910
