"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"186","20001, Northwest Washington, Washington","1","5400 Arnold Avenue Southwest, Southwest Washington, Washington","1/27/2018 - 1/27/2018, Every day, Daily Average",743,529,1042
"186","20001, Northwest Washington, Washington","2","1400 Juniper Street Northwest, Northwest Washington, Washington","1/27/2018 - 1/27/2018, Every day, Daily Average",1676,1368,2052
"186","20001, Northwest Washington, Washington","3","4800 Canal Road Northwest, Northwest Washington, Washington","1/27/2018 - 1/27/2018, Every day, Daily Average",1289,986,1683
"186","20001, Northwest Washington, Washington","4","2700 Unicorn Lane Northwest, Northwest Washington, Washington","1/27/2018 - 1/27/2018, Every day, Daily Average",1734,1445,2079
"186","20001, Northwest Washington, Washington","5","4500 Q Place Northwest, Northwest Washington, Washington","1/27/2018 - 1/27/2018, Every day, Daily Average",969,739,1269
"186","20001, Northwest Washington, Washington","6","Ridge Road Northwest, Northwest Washington, Washington","1/27/2018 - 1/27/2018, Every day, Daily Average",1540,1206,1966
"186","20001, Northwest Washington, Washington","7","4500 Ohio Drive Southwest, Southwest Washington, Washington","1/27/2018 - 1/27/2018, Every day, Daily Average",282,141,562
"186","20001, Northwest Washington, Washington","8","0 H Street Northwest, Northwest Washington, Washington","1/27/2018 - 1/27/2018, Every day, Daily Average",215,92,498
"186","20001, Northwest Washington, Washington","9","1800 Upshur Street Northwest, Northwest Washington, Washington","1/27/2018 - 1/27/2018, Every day, Daily Average",1232,948,1601
"186","20001, Northwest Washington, Washington","10","1500 30th Street Northwest, Northwest Washington, Washington","1/27/2018 - 1/27/2018, Every day, Daily Average",723,488,1069
"186","20001, Northwest Washington, Washington","11","1600 Tuckerman Street Northwest, Northwest Washington, Washington","1/27/2018 - 1/27/2018, Every day, Daily Average",1526,1212,1919
"186","20001, Northwest Washington, Washington","13","2100 Monticello Court, Fort Washington","1/27/2018 - 1/27/2018, Every day, Daily Average",1733,1372,2188
"186","20001, Northwest Washington, Washington","14","0 Hesketh Street, Chevy Chase","1/27/2018 - 1/27/2018, Every day, Daily Average",1743,1469,2066
