"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"186","20001, Northwest Washington, Washington","1","5400 Arnold Avenue Southwest, Southwest Washington, Washington","3/17/2018 - 3/17/2018, Every day, Daily Average",731,520,1025
"186","20001, Northwest Washington, Washington","2","1400 Juniper Street Northwest, Northwest Washington, Washington","3/17/2018 - 3/17/2018, Every day, Daily Average",1660,1373,2005
"186","20001, Northwest Washington, Washington","3","4800 Canal Road Northwest, Northwest Washington, Washington","3/17/2018 - 3/17/2018, Every day, Daily Average",1201,756,1907
"186","20001, Northwest Washington, Washington","4","2700 Unicorn Lane Northwest, Northwest Washington, Washington","3/17/2018 - 3/17/2018, Every day, Daily Average",1648,1334,2035
"186","20001, Northwest Washington, Washington","5","4500 Q Place Northwest, Northwest Washington, Washington","3/17/2018 - 3/17/2018, Every day, Daily Average",992,689,1427
"186","20001, Northwest Washington, Washington","6","Ridge Road Northwest, Northwest Washington, Washington","3/17/2018 - 3/17/2018, Every day, Daily Average",1403,1119,1758
"186","20001, Northwest Washington, Washington","7","4500 Ohio Drive Southwest, Southwest Washington, Washington","3/17/2018 - 3/17/2018, Every day, Daily Average",278,140,550
"186","20001, Northwest Washington, Washington","8","0 H Street Northwest, Northwest Washington, Washington","3/17/2018 - 3/17/2018, Every day, Daily Average",207,85,503
"186","20001, Northwest Washington, Washington","9","1800 Upshur Street Northwest, Northwest Washington, Washington","3/17/2018 - 3/17/2018, Every day, Daily Average",1202,942,1533
"186","20001, Northwest Washington, Washington","10","1500 30th Street Northwest, Northwest Washington, Washington","3/17/2018 - 3/17/2018, Every day, Daily Average",733,494,1086
"186","20001, Northwest Washington, Washington","11","1600 Tuckerman Street Northwest, Northwest Washington, Washington","3/17/2018 - 3/17/2018, Every day, Daily Average",1477,1199,1818
"186","20001, Northwest Washington, Washington","12","8000 Poplar Hill Drive, Clinton","3/17/2018 - 3/17/2018, Every day, Daily Average",1723,1472,2016
"186","20001, Northwest Washington, Washington","13","2100 Monticello Court, Fort Washington","3/17/2018 - 3/17/2018, Every day, Daily Average",1474,1178,1842
"186","20001, Northwest Washington, Washington","14","0 Hesketh Street, Chevy Chase","3/17/2018 - 3/17/2018, Every day, Daily Average",1783,1448,2195
"186","20001, Northwest Washington, Washington","15","8100 Roanoke Avenue, Takoma Park","3/17/2018 - 3/17/2018, Every day, Daily Average",2001,1627,2460
"186","20001, Northwest Washington, Washington","16","8800 Walden Road, Silver Spring","3/17/2018 - 3/17/2018, Every day, Daily Average",2047,1684,2487
"186","20001, Northwest Washington, Washington","17","8300 Colesville Road, Downtown Silver Spring, Silver Spring","3/17/2018 - 3/17/2018, Every day, Daily Average",1810,1481,2211
"186","20001, Northwest Washington, Washington","18","8900 Moreland Lane, Annandale","3/17/2018 - 3/17/2018, Every day, Daily Average",1433,1107,1854
