"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-17","15.88",",,W","0.03",",,W,2400","0.4",",,W,2400","0.0","T,,W,2400","30","H,,S","37",",,W","20",",,W","  340",",,W","  340",",,W","23.9",",,W","31.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-18","8.95",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0","T,,W,2400","29","H,,S","47",",,W","19",",,W","  310",",,W","  330",",,W","19.9",",,W","29.1",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-19","6.04",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","38","H,,S","51",",,W","25",",,W","  170",",,W","  180",",,W","14.1",",,W","17.0",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-20","6.26",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","40","H,,S","63",",,W","28",",,W","  230",",,W","  250",",,W","15.0",",,W","19.0",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-21","4.92",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","44","H,,S","61",",,W","32",",,W","  180",",,W","  190",",,W","13.0",",,W","14.1",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-22","8.05",",,W","0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","54","H,,S","65",",,W","47",",,W","  170",",,W","  170",",,W","15.0",",,W","18.1",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-23","11.86",",,W","0.11",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","57","H,,S","68",",,W","47",",,W","  320",",,W","  330",",,W","28.0",",,W","35.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-24","12.97",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","46","H,,S","48",",,W","35",",,W","  330",",,W","  330",",,W","23.9",",,W","31.1",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-25","10.07",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","37","H,,S","42",",,W","31",",,W","  330",",,W","  330",",,W","23.9",",,W","30.0",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-26","5.14",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","37","H,,S","50",",,W","28",",,W","  190",",,W","  200",",,W","13.0",",,W","16.1",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-27","12.97",",,W","0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","47","H,,S","63",",,W","38",",,W","  190",",,W","  210",",,W","23.0",",,W","29.1",",,W",,,,,,,,,,,,,,,,
